"cost_PF_acq_soc" "cost_PF_admin_soc" "cost_PF_soc" "cost_P_acq_soc" "cost_P_soc" "cost_PF_acq_trt" "cost_PF_admin_trt" "cost_PF_trt" "cost_P_acq_trt" "cost_P_trt" "cost_D" "cost_adv"
400 675.843182931034 5623.41167592299 2000 10184.7683198267 400 763.25486460285 3916.08661185024 4000 11107.1688507484 933.582629942654 4083.12603230643
400 590.851774540561 5898.43146921583 2000 11855.6568348849 400 837.269200179241 7373.95734952837 4000 8147.59254078404 1026.81642071234 4519.55447143459
400 624.033592281841 3790.96784524246 2000 8819.74943059532 400 691.323190515838 4119.78728454728 4000 9949.48860957548 1000.41583333829 4117.89596335707
400 556.601025023518 6588.90828036772 2000 9217.43532283387 400 649.07339483818 4260.15386634116 4000 9465.85679881342 1032.46874474203 3915.47568282473
400 573.072088567539 5390.86421157546 2000 9740.48070912505 400 615.129610013834 5752.15743616863 4000 10644.3497679762 994.799656263344 3607.68355990263
400 595.816822772116 4162.78560170216 2000 8883.59952827612 400 778.859716781428 6820.85879618765 4000 10432.2650578618 812.212603415837 3595.50737571022
400 656.127030852705 3889.84473100824 2000 9462.03235792198 400 660.880305270039 6255.56839018869 4000 10891.3381110548 1039.12867817225 4058.80473834973
400 526.687446229482 4445.39789387114 2000 8064.94672504198 400 587.418599951106 6444.12395343823 4000 11127.411467957 911.003271906214 4293.33149697601
400 623.871775211332 5261.05786842258 2000 11043.5312031675 400 651.346369472776 4912.79587131612 4000 9751.34553790202 886.11715964189 3881.43538296269
400 600.211199220645 4130.64208324943 2000 11398.5647181945 400 632.439591953527 4344.45950446561 4000 10690.1837136604 873.272528190678 4248.86295760645
400 570.932288459402 5033.77272142125 2000 9193.17684240559 400 707.652604659735 6821.72357732975 4000 13936.6494813445 899.986273110092 3876.25440719937
400 642.437840181924 5439.05319907358 2000 9216.6069108526 400 694.915771089518 7036.66978207148 4000 9536.41542732649 846.011519141979 3795.52313434655
400 628.425054270994 5730.01192497892 2000 12193.6610993595 400 678.396894254757 6422.26572509182 4000 12870.6052382889 1072.5603606169 3631.6478667962
400 584.678899469735 6379.58413317327 2000 10713.7388543133 400 661.007106886719 7307.57643455618 4000 11271.4172360516 1049.48695791937 3625.05753065865
400 562.41029184804 4936.4920335749 2000 10155.0065615587 400 842.213783694466 5642.50733954685 4000 10309.985044314 1021.75544049121 3795.54177035586
400 606.775150626402 4572.62757373882 2000 12357.7884110958 400 653.080252018302 5407.21671625096 4000 13891.8730058534 971.275545695741 4200.84829832875
400 575.65445969927 4978.84412851833 2000 10017.9120254238 400 600.583815401577 7329.57952998909 4000 11262.1496916978 1065.0377501956 3968.09022365445
400 614.004774897452 4015.68791849253 2000 9466.53290200089 400 763.882153473412 7073.32073221156 4000 11392.7357995936 1069.49350711261 3683.70491383928
400 634.848616968741 5900.46405130054 2000 9413.2073184526 400 551.593267696988 4240.97958824983 4000 10828.5972708785 1011.78961976365 4518.44345879467
400 639.274590540477 5693.44294075044 2000 9927.96222124858 400 813.813351606507 5766.7414825476 4000 11188.005197912 1031.41713362325 3975.73372213632
400 642.029440806256 5807.54965777659 2000 11482.485347935 400 707.948099781506 4114.43460191676 4000 13608.9210875438 977.392685561487 3718.86549018132
400 577.709898065996 5496.16547188545 2000 10741.2019936896 400 733.085206994119 7226.22460469179 4000 8126.03630779612 1113.31443893581 3937.27322561625
400 518.330900580519 5497.42703008682 2000 11490.209510246 400 719.295693894023 5641.25374623442 4000 10177.1908387126 965.349251038673 3764.69015600917
400 629.709931347206 5499.45559582961 2000 10369.6048391673 400 861.172793146997 4854.10618720663 4000 12679.7132905618 851.114906663088 4527.1203177157
400 590.198855130144 4671.42500390646 2000 9417.85878266206 400 711.926283122057 5883.43070684333 4000 9579.23962140313 958.675035707758 3748.12066245609
400 582.964770521122 4605.83121407021 2000 9319.6413825623 400 533.47882589064 5351.20488800057 4000 9489.10648712617 889.211856157474 4386.44123809766
400 666.263801470875 5299.31670627946 2000 9464.09872016675 400 741.221956109809 5425.84093734428 4000 11308.2648296413 967.178631299532 3147.3718053091
400 549.213155150531 5525.70549696288 2000 11131.7881185605 400 785.877130762729 4757.05597998535 4000 10437.7574984512 926.404779056819 3697.58098751525
400 618.763052472476 5420.3357901306 2000 10293.6792148436 400 578.244915161805 7812.95222494259 4000 11098.3635088246 1005.89274332188 3488.09418599524
