"times" "Exponential" "Gamma" "Generalised Gamma" "Gompertz" "Log-logistic" "Lognormal" "Weibull" "Exponential" "Gamma" "Generalised Gamma" "Gompertz" "Log-logistic" "Lognormal" "Weibull" "Exponential" "Gamma" "Generalised Gamma" "Gompertz" "Log-logistic" "Lognormal" "Weibull"
0 1 1 0.99747128527957 1 1 1 1 1 1 0.995744281637045 1 1 1 1 1 1 1 1 1 1 1
0.0833333333333333 0.989668376436302 0.998429348433304 0.996207718748305 0.994335182886224 1 0.999700651278422 0.998091224936041 0.987527134300992 0.996426155784533 0.993964745846395 0.992337997531664 0.997390767604284 0.99911289790076 0.996102348712921 0.975585882694246 0.920733251011154 1 0.951776502438537 0.922875208207301 0.92847078955433 0.919451589835982
0.166666666666667 0.979443495318066 0.995335779398194 0.994512396247652 0.9885631435005 1 0.997905811630931 0.994781832438087 0.97520984098073 0.990705426026698 0.99168090310121 0.984578994585854 0.992678936076894 0.995156042682494 0.990338632450901 0.951767814512311 0.883094181557684 1 0.908423638023326 0.877967478818232 0.878186793294247 0.879023422153282
0.25 0.969324253822528 0.991231608967644 0.992307561304102 0.982682691322283 1 0.994313281920553 0.990613168634627 0.963046179605827 0.983823639668281 0.988821618460885 0.976723018268991 0.986657598875834 0.988443425179585 0.983597575169099 0.928531243440966 0.853462319500344 1 0.86934302992482 0.842337475043795 0.839241183026166 0.847294433071038
0.333333333333333 0.959309560520871 0.986329803160066 0.9895188958582 0.976692665886396 1 0.989134147981797 0.985775716177992 0.951034233945661 0.976115304239291 0.985321334927304 0.968770153321424 0.979632094497737 0.979715628295455 0.976154351331654 0.905861972741541 0.828151284469532 1 0.834022924716663 0.81223136820887 0.807150773253744 0.820380934018934
0.416666666666667 0.949398335260513 0.980764849550408 0.986079443640871 0.970591939561964 1 0.982655910929549 0.980380833635532 0.939172111670498 0.967771898091792 0.981123360862304 0.960720544295491 0.971792630370176 0.969564794505172 0.968161475828434 0.883746152276207 0.805687697189008 1 0.802023926424369 0.785968695237189 0.77974751036714 0.796685699951754
0.5 0.9395895090486 0.974633960107251 0.981933503572771 0.964379420440956 1 0.975143268985331 0.974505088015592 0.927457944053379 0.958922118148326 0.976183130703773 0.952574397756074 0.963277118889008 0.958425147443001 0.959719809653248 0.862170270046027 0.785298783780105 1 0.772967335490364 0.762598094705672 0.755788176256529 0.775354728258986
0.583333333333333 0.92988202393671 0.968012636207016 0.977040154617921 0.958054055337478 1 0.966819044864789 0.968205990474318 0.915889885675723 0.949660191691415 0.970471145582069 0.944331984500839 0.954193734207757 0.946612209355593 0.950902707957729 0.841121143935589 0.766517056181132 1 0.74652557430056 0.741510664369605 0.734482982907402 0.75586387197345
0.666666666666667 0.920274832906747 0.960962192670779 0.971375963744696 0.951614832898729 1 0.957865432315902 0.961529239719822 0.90446611413661 0.940058897537694 0.963975174192614 0.935993641797064 0.944631378835817 0.934356698819119 0.941766821103623 0.820585913659196 0.749033115286182 1 0.722414291961081 0.722285613642362 0.715294377302376 0.737862263571324
0.75 0.91076689975801 0.953533951100298 0.964936435530043 0.945060786828306 1 0.948429983556519 0.954512591330799 0.893184829765681 0.930176535528895 0.956701289189702 0.927559775631774 0.934665320211824 0.921828878542187 0.932357742352857 0.800552032903671 0.732629032189344 1 0.700385826685431 0.70461637479487 0.697837773895199 0.721100485575498
