"le" "costs" "effects" "trt.costs" "trt.effects"
0.96475 79760.4705739384 0.951336429506457 62652.592427995 0.956916160677483
0.956833333333333 80939.5457525801 0.945903944162817 99828.832774869 0.949550239605549
0.955083333333333 56617.0908779445 0.946050307920554 61478.381822317 0.948194478391374
0.965833333333333 88774.5454884691 0.953188542245481 64361.4480801481 0.958139266753815
0.965 75202.7871803018 0.954182273015265 80367.1570683822 0.957679989258145
0.96275 61500.252254247 0.951190255266261 94279.1217499386 0.955299429439814
0.971 59602.0095422598 0.959629736856764 87285.1988469388 0.963523566394542
0.948666666666667 63150.6634710931 0.935690355039958 87403.7542206985 0.941038852607584
0.9565 74213.2328786267 0.944717421457797 70823.6075873472 0.949058325656756
0.96975 63263.1531469245 0.955717074157182 66486.292608157 0.961759027704224
0.960083333333333 70737.2236594498 0.949198091679769 93803.5702965086 0.952794389874677
0.963833333333333 76311.0432336449 0.952801732171531 95416.5507400973 0.956481647537731
0.95675 80337.3066544479 0.94367274317553 89424.7569940708 0.949037087414017
0.9545 85934.5621870463 0.942972985179879 97747.512694734 0.947114488965992
0.969166666666667 70628.5794250583 0.957080677994215 82331.6880363786 0.961566493891254
0.960333333333333 66974.9939612702 0.948862102415464 77705.1940143445 0.95292251106314
0.960666666666667 70535.8568947618 0.949317012367163 97946.5041086757 0.95327760688042
0.963083333333333 60298.4037797755 0.951092333543291 97312.5950136154 0.95554823848086
0.963416666666667 81749.4396853319 0.951593193803401 63069.4289228084 0.955900783811921
0.95775 78747.4380104402 0.946947688019025 82218.0240838902 0.950495093260985
0.961666666666667 81359.4456777579 0.948799546897227 64490.0501260986 0.953965230601054
0.955916666666667 75988.5087627575 0.94532680324118 96965.0860912889 0.948707731782613
0.966333333333333 76316.5910978738 0.955107212723126 80366.3476535784 0.958920046505505
0.95425 76918.1479106519 0.941532856358138 73655.1435852361 0.946630579984067
0.960416666666667 67491.7886932982 0.947446219329094 83021.1352836231 0.952695087171412
0.954333333333333 66119.0702087118 0.942456305477356 74428.1185957308 0.946896466432392
0.970083333333333 75609.1480748876 0.958404895634305 78847.953308598 0.962563985896259
0.954416666666667 76675.9541839099 0.941486912818714 71204.4631376751 0.946753884052583
0.945333333333333 76052.8256680864 0.929749188238508 102761.171978064 0.937212891598834
0.961583333333333 69752.9248566233 0.949093057971137 75076.2396819593 0.953960879938271
0.965 71855.4446180305 0.954327386155615 100124.86612474 0.957707947480382
0.956 57172.698925993 0.94686096485857 95990.4866973176 0.949086561086171
0.948583333333333 59442.037514085 0.936391090775469 92419.8626663798 0.941110516883798
