"IC" "IE"
42099.820420822 0.0214378952518901
44608.804345258 0.0369596106336996
45270.885456914 0.0367224396591799
40271.572249986 0.02636179923556
42132.717469558 0.0321248189278398
41355.855688134 0.0201381737633399
43715.308814077 0.0432802310014497
41694.419629558 0.0167282379757001
39183.87448143 0.01358114556073
42201.627246344 0.0158724942475499
38232.177092816 0.0191431939062503
43194.691274795 0.02797208434058
40290.770225744 0.03674451788731
42409.590462928 0.0274408253767597
42931.779025205 0.0401282488233301
41694.283830549 0.0210097654602999
42359.543197522 0.0327931143436899
42876.289418675 0.01814093573581
40525.679644151 0.02099739201662
41767.552891795 0.0389667146586299
43175.89529895 0.03702204802117
39328.095016087 0.0246167865645401
41621.647043364 0.0337691218144598
45995.302341752 0.0291297895968099
40447.162658676 0.0320478600688698
42237.34105753 0.02575482214072
42841.872039162 0.02975859041358
41593.952667338 0.0242610997908397
40345.167871901 0.0332737370420397
38930.425856023 0.0292852124919203
38692.203255108 0.02945082750735
41207.152072665 0.0256305835999102
43193.904865769 0.0317774476661801
43149.584424069 0.0409851394727698
41434.16341014 0.0302362823965598
41860.978251066 0.0309899095351698
44206.875974741 0.03429589095389
41767.873547337 0.03035801108912
37817.888525117 0.0327344757945798
41521.251933057 0.0230482395812501
40766.932414889 0.0203536268686402
42481.961131803 0.0250710597457804
40096.173556565 0.03322137397693
46146.899241573 0.0187463445867704
43899.598417095 0.0302613005891801
40615.373427362 0.0247188341418498
39979.229384864 0.0343306592814798
43684.536920777 0.0288637734312602
39592.129658076 0.0336987036522598
43312.864278193 0.0311549289775601
40291.513719506 0.0285635960367401
37543.799607354 0.0260141446702602
42633.262108653 0.0304448167337301
40364.293385752 0.0205205244111299
39053.748143489 0.0273300869850002
46884.327015022 0.0345432075114802
41168.367683021 0.0249542938726401
44589.371130776 0.0363946427727697
41650.575614816 0.0275636098504504
42289.139835848 0.0353292325360601
40497.021477153 0.0348056234165197
39355.412169987 0.02439226417702
40525.803033 0.0308474714382903
43654.354085647 0.0353176539005502
39830.814163366 0.0205282302387402
39694.441002036 0.02314647507148
44008.977010795 0.0314632714023899
43955.238029858 0.0247706100190999
39617.023861529 0.02660065559644
44231.633889625 0.0293770970172602
41695.964259127 0.02491699261848
41847.595980367 0.0344000439010999
43438.938626285 0.0180550061014899
41075.395044682 0.03154320604532
42075.902137682 0.0243230277155999
43503.666831434 0.0252562113354302
42920.199830745 0.0201819722423102
40874.981661228 0.0221530304341697
38617.873264968 0.0222206514118097
42211.938946261 0.0212028425553199
41620.786199664 0.01873181897286
43343.151440529 0.0276205005475001
41542.642433385 0.0343601169765502
42784.410290248 0.03664117846811
40072.70465868 0.0193994816379299
37182.541853108 0.01966187153235
41660.498731086 0.0212353157646699
44260.280463813 0.0298564437136397
40471.163905701 0.02557299312156
43260.9218295 0.0286060031848598
41579.83926408 0.0330957482876499
41978.548395489 0.0334988158407499
41408.761152737 0.0212617360383103
42586.342530002 0.0173431233453503
41926.691862464 0.0293034683546898
42052.322313526 0.0290056831875902
40118.713073367 0.01669335435543
42576.255113248 0.0209592581685398
42207.887365636 0.0335682579593102
43041.854576749 0.0280309167139801
